"participant";"number_lessons";"math_edu";"included";"eureka"
"part4_05";0;1;0;0
"part4_0";0;2;0;0
"part13_05";0;3;0;0
"part19_05";0;3;0;0
"part2_05";0;3;0;0
"part20_05";0;3;0;0
"part5_0";0;3;0;1
"part6_0";0;3;0;0
"part9_0";0;3;0;0
"part11";1;3;0;1
"part3";1;3;0;1
"part35";1;3;0;0
"part23_35";3;3;0;1
"part29_35";5;3;0;1
"part24";7;4;0;1
"part16_05";0;5;0;0
"part21_05";0;5;0;0
"part1";1;5;0;1
"part23";1;5;0;1
"part25_35";3;5;0;1
"part6_35";5;6;0;1
"part26";7;6;0;1
"part32";7;6;0;1
"part19";1;7;0;1
"part2";7;8;0;1
"part18";7;1;1;1
"part15_0";0;3;1;0
"part17_0";0;3;1;0
"part17_05";0;3;1;1
"part18_05";0;3;1;1
"part2_0";0;3;1;1
"part5_05";0;3;1;0
"part7_0";0;3;1;0
"part9_05";0;3;1;1
"part15";1;3;1;1
"part17";1;3;1;0
"part38";1;3;1;0
"part9";1;3;1;1
"part13_35";3;3;1;1
"part17_35";3;3;1;1
"part21_35";3;3;1;0
"part3_35";3;3;1;1
"part10_35";5;3;1;1
"part12_35";5;3;1;1
"part16_35";5;3;1;1
"part18_35";5;3;1;1
"part2_35";5;3;1;0
"part20_35";5;3;1;1
"part26_35";5;3;1;0
"part28_35";5;3;1;1
"part30_35";5;3;1;1
"part10";7;3;1;0
"part12";7;3;1;1
"part14";7;3;1;1
"part12_0";0;4;1;0
"part12_05";0;4;1;1
"part16_0";0;4;1;0
"part33";1;4;1;0
"part37";1;4;1;0
"part24_35";5;4;1;1
"part1_05";0;5;1;0
"part10_05";0;5;1;1
"part14_05";0;5;1;1
"part18_0";0;5;1;0
"part7_05";0;5;1;0
"part21";1;5;1;0
"part25";1;5;1;1
"part29";1;5;1;1
"part11_35";3;5;1;0
"part19_35";3;5;1;1
"part31_35";3;5;1;0
"part32_35";3;5;1;1
"part9_35";3;5;1;0
"part16";7;5;1;1
"part30";7;5;1;0
"part11_0";0;6;1;0
"part14_0";0;6;1;0
"part3_05";0;6;1;1
"part8_0";0;6;1;1
"part8_05";0;6;1;0
"part13";1;6;1;0
"part1_35";3;6;1;0
"part27_35";3;6;1;1
"part5_35";3;6;1;0
"part14_35";5;6;1;1
"part22_35";5;6;1;1
"part34";7;6;1;1
"part36";7;6;1;0
"part4";7;6;1;1
"part1_0";0;7;1;0
"part3_0";0;7;1;1
"part6_05";0;7;1;1
"part27";1;7;1;1
"part31";1;7;1;0
"part15_35";3;7;1;0
"part7_35";3;7;1;1
"part4_35";5;7;1;1
"part11_05";0;8;1;1
"part13_0";0;8;1;1
"part15_05";0;8;1;0
"part5";1;8;1;0
"part7";1;8;1;0
"part8_35";5;8;1;0
"part20";7;8;1;1
"part22";7;8;1;1
"part28";7;8;1;1
"part6";7;8;1;1
"part8";7;8;1;1
"part10_0";0;9;1;0
