"participant";"position";"included";"number_lessons";"math_edu";"lessons";"eur_lessons"
"part1";"lessons";0;1;5;1;1
"part1_35";"lessons";1;3;6;123;0
"part10";"lessons";1;7;3;5671234;0
"part10_35";"lessons";1;5;3;71234;1
"part11";"lessons";0;1;3;6;1
"part11_35";"lessons";1;3;5;234;0
"part12";"lessons";1;7;3;6712345;1
"part12_35";"lessons";1;5;3;56712;1
"part13";"lessons";1;1;6;7;0
"part13_35";"lessons";1;3;3;567;1
"part14";"lessons";1;7;3;7123456;1
"part14_35";"lessons";1;5;6;34567;1
"part15";"lessons";1;1;3;1;0
"part15_35";"lessons";1;3;7;765;0
"part16";"lessons";1;7;5;7654321;1
"part16_35";"lessons";1;5;3;76543;1
"part17";"lessons";1;1;3;2;0
"part17_35";"lessons";1;3;3;432;0
"part18";"lessons";1;7;1;6543217;1
"part18_35";"lessons";1;5;3;21765;0
"part19";"lessons";0;1;7;3;0
"part19_35";"lessons";1;3;5;176;1
"part2";"lessons";0;7;8;1234567;0
"part2_35";"lessons";1;5;3;12345;0
"part20";"lessons";1;7;8;5432176;0
"part20_35";"lessons";1;5;3;43217;1
"part21";"lessons";1;1;5;4;0
"part21_35";"lessons";1;3;3;543;0
"part22";"lessons";1;7;8;4321765;0
"part22_35";"lessons";1;5;6;65432;1
"part23";"lessons";0;1;5;5;1
"part23_35";"lessons";0;3;3;217;1
"part24";"lessons";0;7;4;3217654;1
"part24_35";"lessons";1;5;4;17654;1
"part25";"lessons";1;1;5;6;0
"part25_35";"lessons";0;3;5;654;1
"part26";"lessons";0;7;6;2176543;1
"part26_35";"lessons";1;5;3;32176;0
"part27";"lessons";1;1;7;7;1
"part27_35";"lessons";1;3;6;321;0
"part28";"lessons";1;7;8;1765432;0
"part28_35";"lessons";1;5;3;54321;0
"part29";"lessons";1;1;5;1;1
"part29_35";"lessons";0;5;3;45671;1
"part3";"lessons";0;1;3;2;1
"part3_35";"lessons";1;3;3;456;0
"part30";"lessons";1;7;5;1234567;0
"part30_35";"lessons";1;5;3;45671;1
"part31";"lessons";1;1;7;2;0
"part31_35";"lessons";1;3;5;217;0
"part32";"lessons";0;7;6;5432176;1
"part32_35";"lessons";1;3;5;654;0
"part33";"lessons";1;1;4;6;0
"part34";"lessons";1;7;6;3217654;1
"part35";"lessons";0;1;3;3;0
"part36";"lessons";1;7;6;2176543;0
"part37";"lessons";1;1;4;5;0
"part38";"lessons";1;1;3;3;0
"part4";"lessons";1;7;6;2345671;1
"part4_35";"lessons";1;5;7;67123;1
"part5";"lessons";1;1;8;3;0
"part5_35";"lessons";1;3;6;712;0
"part6";"lessons";1;7;8;3456712;1
"part6_35";"lessons";0;5;6;45671;1
"part7";"lessons";1;1;8;4;0
"part7_35";"lessons";1;3;7;345;1
"part8";"lessons";1;7;8;4567123;1
"part8_35";"lessons";1;5;8;23456;0
"part9";"lessons";1;1;3;5;0
"part9_35";"lessons";1;3;5;671;0
