"participant";"position";"response";"included";"number_lessons";"math_edu";"lessons"
"part1";"reasoning_about_straight_lines";0;0;1;4;1
"part1";"lesson6";0;0;1;4;1
"part1";"lesson5";0;0;1;4;1
"part1";"lesson7";0;0;1;4;1
"part1";"definition2";0;0;1;4;1
"part1";"lesson2";0;0;1;4;1
"part1";"lessons";1;0;1;4;1
"part1";"introspection1";0;0;1;4;1
"part1";"lesson3";0;0;1;4;1
"part1";"straight_lines_on_various_surfaces";0;0;1;4;1
"part1";"straight_lines_on_spheres2";0;0;1;4;1
"part1";"introspection2";0;0;1;4;1
"part1";"lesson1";1;0;1;4;1
"part1";"planar_geometry";0;0;1;4;1
"part1";"straight_lines_on_spheres1";0;0;1;4;1
"part1";"definition3";0;0;1;4;1
"part1";"lesson4";0;0;1;4;1
"part1_0";"planar_geometry";0;1;0;6;0
"part1_0";"straight_lines_on_spheres2";0;1;0;6;0
"part1_0";"introspection2";0;1;0;6;0
"part1_0";"definition3";0;1;0;6;0
"part1_0";"introspection1";0;1;0;6;0
"part1_0";"reasoning_about_straight_lines";0;1;0;6;0
"part1_0";"definition2";0;1;0;6;0
"part1_0";"straight_lines_on_various_surfaces";0;1;0;6;0
"part1_0";"straight_lines_on_spheres1";0;1;0;6;0
"part1_05";"planar_geometry";0;1;0;4;0
"part1_05";"introspection2";0;1;0;4;0
"part1_05";"introspection1";0;1;0;4;0
"part1_05";"definition3";0;1;0;4;0
"part1_05";"definition2";0;1;0;4;0
"part1_05";"reasoning_about_straight_lines";0;1;0;4;0
"part1_05";"straight_lines_on_spheres2";0;1;0;4;0
"part1_05";"straight_lines_on_spheres1";0;1;0;4;0
"part1_05";"straight_lines_on_various_surfaces";0;1;0;4;0
"part1_35";"planar_geometry";0;1;3;5;123
"part1_35";"introspection1";0;1;3;5;123
"part1_35";"straight_lines_on_spheres2";0;1;3;5;123
"part1_35";"lesson1";0;1;3;5;123
"part1_35";"definition3";0;1;3;5;123
"part1_35";"lesson4";0;1;3;5;123
"part1_35";"lesson5";0;1;3;5;123
"part1_35";"lesson2";0;1;3;5;123
"part1_35";"reasoning_about_straight_lines";0;1;3;5;123
"part1_35";"lesson3";0;1;3;5;123
"part1_35";"lessons";0;1;3;5;123
"part1_35";"introspection2";0;1;3;5;123
"part1_35";"straight_lines_on_various_surfaces";0;1;3;5;123
"part1_35";"straight_lines_on_spheres1";0;1;3;5;123
"part1_35";"definition2";0;1;3;5;123
"part10";"introspection2";0;1;7;2;5671234
"part10";"definition3";0;1;7;2;5671234
"part10";"straight_lines_on_various_surfaces";0;1;7;2;5671234
"part10";"lesson7";0;1;7;2;5671234
"part10";"introspection1";0;1;7;2;5671234
"part10";"lesson6";0;1;7;2;5671234
"part10";"reasoning_about_straight_lines";0;1;7;2;5671234
"part10";"lesson5";0;1;7;2;5671234
"part10";"planar_geometry";0;1;7;2;5671234
"part10";"definition2";0;1;7;2;5671234
"part10";"lesson1";0;1;7;2;5671234
"part10";"straight_lines_on_spheres2";0;1;7;2;5671234
"part10";"lessons";0;1;7;2;5671234
"part10";"lesson3";0;1;7;2;5671234
"part10";"straight_lines_on_spheres1";0;1;7;2;5671234
"part10";"lesson2";0;1;7;2;5671234
"part10";"lesson4";0;1;7;2;5671234
"part10_0";"introspection1";0;1;0;8;0
"part10_0";"straight_lines_on_spheres2";0;1;0;8;0
"part10_0";"introspection2";0;1;0;8;0
"part10_0";"definition2";0;1;0;8;0
"part10_0";"straight_lines_on_spheres1";0;1;0;8;0
"part10_0";"definition3";0;1;0;8;0
"part10_0";"straight_lines_on_various_surfaces";0;1;0;8;0
"part10_0";"planar_geometry";0;1;0;8;0
"part10_0";"reasoning_about_straight_lines";0;1;0;8;0
"part10_05";"introspection2";0;1;0;4;0
"part10_05";"reasoning_about_straight_lines";0;1;0;4;0
"part10_05";"straight_lines_on_various_surfaces";0;1;0;4;0
"part10_05";"definition3";0;1;0;4;0
"part10_05";"introspection1";0;1;0;4;0
"part10_05";"straight_lines_on_spheres2";0;1;0;4;0
"part10_05";"straight_lines_on_spheres1";0;1;0;4;0
"part10_05";"definition2";0;1;0;4;0
"part10_05";"planar_geometry";1;1;0;4;0
"part10_35";"introspection2";0;1;5;2;71234
"part10_35";"straight_lines_on_spheres1";0;1;5;2;71234
"part10_35";"lesson2";1;1;5;2;71234
"part10_35";"planar_geometry";0;1;5;2;71234
"part10_35";"lesson3";0;1;5;2;71234
"part10_35";"lesson4";0;1;5;2;71234
"part10_35";"definition3";0;1;5;2;71234
"part10_35";"lesson1";0;1;5;2;71234
"part10_35";"straight_lines_on_various_surfaces";0;1;5;2;71234
"part10_35";"definition2";0;1;5;2;71234
"part10_35";"straight_lines_on_spheres2";0;1;5;2;71234
"part10_35";"reasoning_about_straight_lines";0;1;5;2;71234
"part10_35";"lessons";1;1;5;2;71234
"part10_35";"lesson5";0;1;5;2;71234
"part10_35";"introspection1";0;1;5;2;71234
"part11";"definition3";0;0;1;2;6
"part11";"lesson7";0;0;1;2;6
"part11";"lesson6";0;0;1;2;6
"part11";"straight_lines_on_various_surfaces";0;0;1;2;6
"part11";"lesson5";0;0;1;2;6
"part11";"planar_geometry";0;0;1;2;6
"part11";"introspection1";0;0;1;2;6
"part11";"lesson1";1;0;1;2;6
"part11";"reasoning_about_straight_lines";0;0;1;2;6
"part11";"lessons";1;0;1;2;6
"part11";"introspection2";0;0;1;2;6
"part11";"definition2";0;0;1;2;6
"part11";"straight_lines_on_spheres1";0;0;1;2;6
"part11";"straight_lines_on_spheres2";0;0;1;2;6
"part11";"lesson4";0;0;1;2;6
"part11";"lesson3";0;0;1;2;6
"part11";"lesson2";0;0;1;2;6
"part11_0";"introspection2";0;1;0;5;0
"part11_0";"definition3";0;1;0;5;0
"part11_0";"straight_lines_on_spheres2";0;1;0;5;0
"part11_0";"planar_geometry";0;1;0;5;0
"part11_0";"straight_lines_on_spheres1";0;1;0;5;0
"part11_0";"reasoning_about_straight_lines";0;1;0;5;0
"part11_0";"straight_lines_on_various_surfaces";0;1;0;5;0
"part11_0";"introspection1";0;1;0;5;0
"part11_0";"definition2";0;1;0;5;0
"part11_05";"definition3";0;1;0;7;0
"part11_05";"reasoning_about_straight_lines";0;1;0;7;0
"part11_05";"straight_lines_on_various_surfaces";0;1;0;7;0
"part11_05";"introspection2";0;1;0;7;0
"part11_05";"definition2";0;1;0;7;0
"part11_05";"introspection1";0;1;0;7;0
"part11_05";"straight_lines_on_spheres2";1;1;0;7;0
"part11_05";"straight_lines_on_spheres1";0;1;0;7;0
"part11_05";"planar_geometry";0;1;0;7;0
"part11_35";"lesson2";0;1;3;4;234
"part11_35";"introspection2";0;1;3;4;234
"part11_35";"straight_lines_on_spheres1";0;1;3;4;234
"part11_35";"lesson4";0;1;3;4;234
"part11_35";"definition2";0;1;3;4;234
"part11_35";"definition3";0;1;3;4;234
"part11_35";"planar_geometry";0;1;3;4;234
"part11_35";"lesson3";0;1;3;4;234
"part11_35";"straight_lines_on_spheres2";0;1;3;4;234
"part11_35";"lesson1";0;1;3;4;234
"part11_35";"straight_lines_on_various_surfaces";0;1;3;4;234
"part11_35";"reasoning_about_straight_lines";0;1;3;4;234
"part11_35";"lessons";0;1;3;4;234
"part11_35";"lesson5";0;1;3;4;234
"part11_35";"introspection1";0;1;3;4;234
"part12";"reasoning_about_straight_lines";0;1;7;2;6712345
"part12";"lesson7";0;1;7;2;6712345
"part12";"lesson2";0;1;7;2;6712345
"part12";"introspection1";0;1;7;2;6712345
"part12";"lesson5";0;1;7;2;6712345
"part12";"lesson4";0;1;7;2;6712345
"part12";"straight_lines_on_spheres2";0;1;7;2;6712345
"part12";"definition2";0;1;7;2;6712345
"part12";"definition3";0;1;7;2;6712345
"part12";"lesson1";0;1;7;2;6712345
"part12";"straight_lines_on_various_surfaces";0;1;7;2;6712345
"part12";"lessons";1;1;7;2;6712345
"part12";"introspection2";0;1;7;2;6712345
"part12";"straight_lines_on_spheres1";0;1;7;2;6712345
"part12";"lesson6";0;1;7;2;6712345
"part12";"planar_geometry";0;1;7;2;6712345
"part12";"lesson3";1;1;7;2;6712345
"part12_0";"introspection2";0;1;0;3;0
"part12_0";"definition3";0;1;0;3;0
"part12_0";"straight_lines_on_spheres2";0;1;0;3;0
"part12_0";"planar_geometry";0;1;0;3;0
"part12_0";"straight_lines_on_spheres1";0;1;0;3;0
"part12_0";"reasoning_about_straight_lines";0;1;0;3;0
"part12_0";"straight_lines_on_various_surfaces";0;1;0;3;0
"part12_0";"introspection1";0;1;0;3;0
"part12_0";"definition2";0;1;0;3;0
"part12_05";"definition3";0;1;0;3;0
"part12_05";"definition2";0;1;0;3;0
"part12_05";"reasoning_about_straight_lines";1;1;0;3;0
"part12_05";"straight_lines_on_various_surfaces";0;1;0;3;0
"part12_05";"introspection2";0;1;0;3;0
"part12_05";"planar_geometry";0;1;0;3;0
"part12_05";"straight_lines_on_spheres2";0;1;0;3;0
"part12_05";"straight_lines_on_spheres1";0;1;0;3;0
"part12_05";"introspection1";0;1;0;3;0
"part12_35";"straight_lines_on_spheres1";0;1;5;2;56712
"part12_35";"planar_geometry";0;1;5;2;56712
"part12_35";"definition3";0;1;5;2;56712
"part12_35";"lesson4";1;1;5;2;56712
"part12_35";"straight_lines_on_spheres2";0;1;5;2;56712
"part12_35";"lesson1";0;1;5;2;56712
"part12_35";"lesson3";0;1;5;2;56712
"part12_35";"lesson2";0;1;5;2;56712
"part12_35";"reasoning_about_straight_lines";0;1;5;2;56712
"part12_35";"lessons";1;1;5;2;56712
"part12_35";"straight_lines_on_various_surfaces";0;1;5;2;56712
"part12_35";"introspection2";0;1;5;2;56712
"part12_35";"introspection1";0;1;5;2;56712
"part12_35";"lesson5";0;1;5;2;56712
"part12_35";"definition2";0;1;5;2;56712
"part13";"lesson7";0;1;1;5;7
"part13";"introspection1";0;1;1;5;7
"part13";"straight_lines_on_various_surfaces";0;1;1;5;7
"part13";"straight_lines_on_spheres2";0;1;1;5;7
"part13";"lesson6";0;1;1;5;7
"part13";"reasoning_about_straight_lines";0;1;1;5;7
"part13";"lesson5";0;1;1;5;7
"part13";"introspection2";0;1;1;5;7
"part13";"definition2";0;1;1;5;7
"part13";"definition3";0;1;1;5;7
"part13";"lesson3";0;1;1;5;7
"part13";"planar_geometry";0;1;1;5;7
"part13";"lessons";0;1;1;5;7
"part13";"lesson1";0;1;1;5;7
"part13";"lesson2";0;1;1;5;7
"part13";"lesson4";0;1;1;5;7
"part13";"straight_lines_on_spheres1";0;1;1;5;7
"part13_0";"straight_lines_on_spheres1";0;1;0;7;0
"part13_0";"definition3";0;1;0;7;0
"part13_0";"introspection2";0;1;0;7;0
"part13_0";"planar_geometry";0;1;0;7;0
"part13_0";"straight_lines_on_spheres2";1;1;0;7;0
"part13_0";"straight_lines_on_various_surfaces";0;1;0;7;0
