"participant";"position";"introspection";"included";"number_lessons";"math_edu"
"part1";"Pos1";10;0;1;4
"part1";"Pos3";5;0;1;4
"part1";"Pos2";8;0;1;4
"part1_0";"Pos1";8;1;0;6
"part1_0";"Pos2";6;1;0;6
"part1_0";"Pos3";7;1;0;6
"part1_05";"Pos1";8;1;0;4
"part1_05";"Pos3";8;1;0;4
"part1_05";"Pos2";8;1;0;4
"part1_35";"Pos1";5;1;3;5
"part1_35";"Pos2";5;1;3;5
"part1_35";"Pos3";6;1;3;5
"part10";"Pos1";10;1;7;2
"part10";"Pos2";7;1;7;2
"part10";"Pos3";7;1;7;2
"part10_0";"Pos1";10;1;0;8
"part10_0";"Pos3";10;1;0;8
"part10_0";"Pos2";10;1;0;8
"part10_05";"Pos3";9;1;0;4
"part10_05";"Pos1";9;1;0;4
"part10_05";"Pos2";9;1;0;4
"part10_35";"Pos1";9;1;5;2
"part10_35";"Pos2";7;1;5;2
"part10_35";"Pos3";7;1;5;2
"part11";"Pos1";7;0;1;2
"part11";"Pos2";8;0;1;2
"part11";"Pos3";8;0;1;2
"part11_0";"Pos3";7;1;0;5
"part11_0";"Pos2";7;1;0;5
"part11_0";"Pos1";9,5;1;0;5
"part11_05";"Pos3";10;1;0;7
"part11_05";"Pos2";10;1;0;7
"part11_05";"Pos1";10;1;0;7
"part11_35";"Pos1";9;1;3;4
"part11_35";"Pos3";7;1;3;4
"part11_35";"Pos2";7;1;3;4
"part12";"Pos1";9;1;7;2
"part12";"Pos2";9;1;7;2
"part12";"Pos3";9;1;7;2
"part12_0";"Pos3";3,5;1;0;3
"part12_0";"Pos2";4;1;0;3
"part12_0";"Pos1";5,5;1;0;3
"part12_05";"Pos2";7;1;0;3
"part12_05";"Pos3";8;1;0;3
"part12_05";"Pos1";9;1;0;3
"part12_35";"Pos3";9;1;5;2
"part12_35";"Pos2";9;1;5;2
"part12_35";"Pos1";9;1;5;2
"part13";"Pos1";6;1;1;5
"part13";"Pos2";6;1;1;5
"part13";"Pos3";6;1;1;5
"part13_0";"Pos2";10;1;0;7
"part13_0";"Pos3";10;1;0;7
"part13_0";"Pos1";10;1;0;7
"part13_05";"Pos3";7;0;0;2
"part13_05";"Pos2";6;0;0;2
"part13_05";"Pos1";NA;0;0;2
"part13_35";"Pos2";9;1;3;2
"part13_35";"Pos1";10;1;3;2
"part13_35";"Pos3";9;1;3;2
"part14";"Pos1";9;1;7;2
"part14";"Pos2";8;1;7;2
"part14";"Pos3";7;1;7;2
"part14_0";"Pos1";5;1;0;5
"part14_0";"Pos2";7;1;0;5
"part14_0";"Pos3";6;1;0;5
"part14_05";"Pos3";0,5;1;0;4
"part14_05";"Pos1";0,5;1;0;4
"part14_05";"Pos2";1,5;1;0;4
"part14_35";"Pos2";9;1;5;5
"part14_35";"Pos1";10;1;5;5
"part14_35";"Pos3";9;1;5;5
"part15";"Pos1";5;1;1;2
"part15";"Pos2";5;1;1;2
"part15";"Pos3";5;1;1;2
"part15_0";"Pos3";7;1;0;2
"part15_0";"Pos1";9;1;0;2
"part15_0";"Pos2";8;1;0;2
"part15_05";"Pos1";8;1;0;7
