Estimate;Std. Error;
(Intercept);1.93656454241174;9.59595487523322e-12
test_condition1;1.03006583723506;0.0077228318183951
test_condition2;5.68959779527999;0.00651938915471934
test_condition3;-1.54414197039776;5.40189133481708e-07
test_condition4;1.53029324387409;0.00126850349884975
test_condition5;-1.68114806435622;3.18296313469875e-09
test_condition6;-2.88552910616988;2.78208974644302e-23
test_condition7;0.586971375689057;0.13094934588014
test_condition8;-1.13996607322131;7.63987388754069e-05
eureka1;0.168111677253005;0.255927286390084
confidence_n;-0.258789367962177;0.0903390940676827
number_lessons_n;0.215637684347754;0.000539838180659711
math_edu_n;0.124222404991707;0.0849138360227654
test_condition1:eureka1;-0.198376235613491;0.501432201333906
test_condition2:eureka1;1.09593391322434;0.143653075502835
test_condition3:eureka1;-0.327090129006093;0.0867749505953999
test_condition4:eureka1;0.479206789352018;0.160362252972638
test_condition5:eureka1;-0.158845030290386;0.279945414324223
test_condition6:eureka1;-0.79960922674247;6.17815794704868e-07
test_condition7:eureka1;0.292105561993105;0.345802956023679
test_condition8:eureka1;-0.164426675516029;0.29081977364068
test_condition1:confidence_n;0.577219786243801;0.0121916590712942
test_condition2:confidence_n;-2.24696160504895;0.0321627391413287
test_condition3:confidence_n;0.456785998830967;0.00915153058752098
test_condition4:confidence_n;0.246147579321402;0.288426430491928
test_condition5:confidence_n;0.202856230098146;0.182919958388865
test_condition6:confidence_n;0.16284349796911;0.301418231921958
test_condition7:confidence_n;0.0560698711714157;0.80683585042019
test_condition8:confidence_n;0.19714973759149;0.207570326395535
test_condition1:number_lessons_n;-0.145139925125563;0.249913066331083
test_condition2:number_lessons_n;0.28629043066424;0.334478089279764
test_condition3:number_lessons_n;0.242454417407948;0.00514745157977681
test_condition4:number_lessons_n;0.165523229153998;0.261294928142481
test_condition5:number_lessons_n;-0.0406926332263058;0.51182903276871
test_condition6:number_lessons_n;-0.268646452064907;5.38993705974871e-05
test_condition7:number_lessons_n;-0.0905539557645509;0.469520738015251
test_condition8:number_lessons_n;-0.0934487839753107;0.157448870231306
test_condition1:math_edu_n;-0.0018614475980551;0.989924158717329
test_condition2:math_edu_n;-0.00381709440357307;0.991763160886396
test_condition3:math_edu_n;0.018297350218103;0.852085877907227
test_condition4:math_edu_n;0.231489413047915;0.191577292158959
test_condition5:math_edu_n;-0.159099712612185;0.0266226562277331
test_condition6:math_edu_n;0.0212954256987534;0.779927708873037
test_condition7:math_edu_n;-0.0701348225448744;0.604438857719877
test_condition8:math_edu_n;-0.0268708831539962;0.724173565343801
