"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"(Intercept)";1.55278546073659;0.131685578209922;11.7916136439881;4.31199111128277e-32
"test_condition1";1.33798704788877;0.279434465724714;4.78819620342357;1.68287077206244e-06
"test_condition2";2.71580857613885;0.563748385630705;4.81741259995003;1.45431759418572e-06
"test_condition3";-1.17338254387897;0.1769279780921;-6.63197848374305;3.31216871238007e-11
"test_condition4";1.92621223053252;0.400869024971194;4.80509121569304;1.54680968652286e-06
"test_condition5";-1.29458891827589;0.130605342369455;-9.91222024144904;3.68367650632222e-23
"test_condition6";-2.49227992764784;0.143506990547651;-17.3669583491146;1.46804383320504e-67
"test_condition7";0.941848693215033;0.289255495579718;3.25611339320418;0.00112948633219551
"test_condition8";-0.753554453711728;0.139638922835459;-5.39644991819125;6.79723732037727e-08
"number_lessons_n";0.192110387219269;0.0540568418240108;3.55385887774779;0.000379622859553188
"math_edu_n";0.0908759543493057;0.0608661108390331;1.49304683832415;0.135424926790707
"eureka1";0.126117893931978;0.131579861394991;0.958489335639161;0.337816066494287
"test_condition1:number_lessons_n";-0.0851779083263518;0.12525665666863;-0.680026998897889;0.496487365744895
"test_condition2:number_lessons_n";0.0861126289339948;0.180223759385034;0.47780952538018;0.632785780869555
"test_condition3:number_lessons_n";0.289836362681871;0.0806340604847102;3.59446567541801;0.000325057993777395
"test_condition4:number_lessons_n";0.18932658661487;0.140201188144415;1.35039216942907;0.17689022129603
"test_condition5:number_lessons_n";-0.0248884298763928;0.0536486280844564;-0.463915495419794;0.64270829057675
"test_condition6:number_lessons_n";-0.262300228118484;0.0580606929952759;-4.51769027524052;6.2517840916155e-06
"test_condition7:number_lessons_n";-0.0952769490747894;0.116335927273061;-0.818981301031428;0.41279708218002
"test_condition8:number_lessons_n";-0.0777886127050785;0.0579891535908751;-1.34143383526327;0.179779638281239
"test_condition1:math_edu_n";0.0308277468248437;0.139582940668875;0.220856120935113;0.82520446415114
"test_condition2:math_edu_n";-0.251312539921095;0.206620981503044;-1.21629729029911;0.223871693387503
"test_condition3:math_edu_n";0.0612561396145073;0.0896054270251517;0.68362086592493;0.494214605156057
"test_condition4:math_edu_n";0.265150654760876;0.171832655299559;1.54307488468146;0.122812607665923
"test_condition5:math_edu_n";-0.128087300013101;0.0604059609004207;-2.12044139524994;0.0339688388686509
"test_condition6:math_edu_n";0.0475681324296418;0.0654430341593279;0.726863187819688;0.467309769984933
"test_condition7:math_edu_n";-0.055989662408387;0.126646089611375;-0.442095469194479;0.65842012289311
"test_condition8:math_edu_n";0.00448836488521338;0.0655204358833717;0.0685032818341258;0.945385007689248
"test_condition1:eureka1";-0.164163965087898;0.28579591534632;-0.574409766804989;0.565690545279078
"test_condition2:eureka1";0.750145385890019;0.531977500134789;1.41010735548017;0.158507985700939
"test_condition3:eureka1";-0.320146345661546;0.178104761727752;-1.79751704870707;0.0722535740401915
"test_condition4:eureka1";0.529446386955804;0.332517089153512;1.59223812617756;0.111331209573688
"test_condition5:eureka1";-0.10673463015546;0.130209011852164;-0.819717688024885;0.412377064153893
"test_condition6:eureka1";-0.735972289723055;0.143931737078838;-5.11334264881364;3.16507416265322e-07
"test_condition7:eureka1";0.351349325519109;0.299653581768976;1.17251835751454;0.240989006232802
"test_condition8:eureka1";-0.111742859122137;0.139951055047555;-0.798442420345933;0.424613794618205
